slug,in_build,status,units,group,source
glendullan-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glenfarclas-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glenfiddich-distillery,yes,operating (SWA),1,William Grant,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glenglassaugh-distillery,yes,operating list; reported production pause,1,Brown-Forman,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glengoyne-distillery,yes,operating (SWA),1,Ian Macleod,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glengyle,yes,operating (SWA),1,J & A Mitchell,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glenkinchie-distillery,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glenlossie,yes,operating (SWA),1,Diageo,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glenmorangie-distillery,yes,operating (SWA),1,LVMH,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glenrothes-distillery,yes,operating (SWA),1,Edrington,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glentauchers-distillery,yes,operating (SWA),1,Pernod Ricard,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
glenwyvis-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
great-glen-distillery-scotlands-smallest-craft-distillery,yes,gin / other,0,residual,https://www.greatglendistillery.co.uk/
greenock-distillery,yes,gin / other,0,residual,https://titanspiritsltd.com/
highland-boundary-wild-distillery,yes,gin / other,0,residual,https://highlandboundary.com/pages/about-us
highland-park-distillery,yes,operating (SWA),1,Edrington,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
holyrood-distillery,yes,operating (SWA),1,residual,https://www.scotch-whisky.org.uk/media/f2fm4u0u/list-of-current-operating-scotch-whisky-distilleries-for-public-website-september-2026.pdf
ian-macleod-distillers-ltd,yes,office,0,Ian Macleod,https://www.ianmacleod.com/
