slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba,global_name_score,candidate_tier,candidate_permit,candidate_owner,candidate_dba,candidate_state,candidate_city
jones-von-drehle-vineyards,Jones von Drehle Vineyards,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,CA-S-15151,"TREFETHEN FAMILY WINERY, LLC",TREFETHEN VINEYARDS,CA,NAPA
north-spirit-distillery-after-six-vodka,North Spirit Distillery/After Six Vodka,"2300 Finch Ave W Unit 44, North York, ON M9M 2Y3, Canada",,osm,unmatched,0,none,0,,,,60.5,no_name_candidate_below_70,CA-S-20441,ARIS VODKA CORPORATION,Aris Vodka Corporation,CA,FULLERTON
bee-boyzz-honey,Bee Boyzz Honey,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,WA-S-20214,"BEES N HONEY, LLC",Paddock,WA,PULLMAN
central-standard-craft-distillery,Central Standard Craft Distillery,,,osm,unmatched,0,none,0,,,,84.2,review_name_candidate_70_84,WI-S-20010,CENTRAL STANDARD LLC,Central Standard LLC,WI,MILWAUKEE
patent-5-spirits,Patent 5 Spirits,"108 Alexander Ave, Winnipeg, MB R3B 0L2, Canada",,osm,unmatched,0,none,0,,,,62.5,no_name_candidate_below_70,GA-S-20138,"ATHENTIC BREWING COMPANY, LLC",,GA,ATHENS
junction-56-distillery,Junction 56 Distillery,"45 Cambria St, Stratford, ON N5A 1G8, Canada",,osm,unmatched,0,none,0,,,,90.9,high_name_candidate_85_94,TN-S-20077,"JUNCTION 35, LLC",Junction 35,TN,PIGEON FORGE
elysian-desert-distilleries,Elysian Desert Distilleries,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,AZ-S-20029,ELYSIAN DESERT DISTILLERIES INC.,Carefree Spirits Distillery,AZ,CAREFREE
cape-island-distillers,Cape & Island Distillers,,,osm,unmatched,0,none,0,,,,91.7,high_name_candidate_85_94,MA-S-20024,"CAPE AND ISLAND DISTILLERS, LLC",,MA,MASHPEE
route-40-distilling-co,Route 40 Distilling Co.,,,osm,unmatched,0,none,0,,,,90.0,high_name_candidate_85_94,MD-S-20035,"TOASTED GOAT WINERY, LLC",Rout 40 Distilling Company,MD,FROSTBURG
copper-spirit-distillery,Copper Spirit Distillery,"441 Bowen Island Trunk Rd, Bowen Island, BC V0N 1G0, Canada",,osm,unmatched,0,none,0,,,,75.0,review_name_candidate_70_84,KY-S-20004,COPPERHEAD DISTILLERY COMPANY,Kentucky Artisan Distillery,KY,CRESTWOOD
la-barik,La Barik,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,CO-S-20035,"VICTOR W. MATTHEWS, JR.",Black Bear Distillery,CO,GREEN MOUNTAIN FALLS
