slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
oligan-distilling,Oligan Distilling,,,osm,unmatched,0,none,0,,,
rise-spirits,Rise Spirits,,,osm,unmatched,0,none,0,,,
patapsco-distillery,Patapsco Distillery,"7609 Main St, Sykesville, MD 21784, USA",MD,osm,unmatched,59.3,none,0.5,,,
dayton-barrel-works,Dayton Barrel Works,,,osm,unmatched,0,none,0,,,
astraluna-brands,AstraLuna Brands,,,osm,unmatched,0,none,0,,,
bethel-rd-distillary-winery,Bethel Rd Distillary & Winery,"1266 N Bethel Rd, Templeton, CA 93465, USA",CA,osm,unmatched,63.6,none,0.0,,,
full-throttle-distillery,Full Throttle Distillery,"45 Gin St, Trimble, TN 38259, USA",TN,osm,unmatched,68.4,none,0.5,,,
bourbon-30,Bourbon 30,,,osm,unmatched,0,none,0,,,
raff-distilerie,Raff Distilerie,,,osm,unmatched,0,none,0,,,
four-roses-cox-s-creek-distillery,Four Roses Cox's Creek Distillery,,,osm,unmatched,0,none,0,,,
nola-distillery,NOLA Distillery,,,osm,unmatched,0,none,0,,,
old-forester-distillery,Old Forester Distillery,"119 W Main St, Louisville, KY 40202, USA",KY,osm,unmatched,63.2,none,0.571,,,
du-nord-craft-spirits,Du Nord Craft Spirits,,,osm,unmatched,0,none,0,,,
chemist-spirits,Chemist Spirits,"251 Biltmore Ave, Asheville, NC 28801, USA",NC,osm,unmatched,60.9,none,0.167,,,
michter-s-shively-distillery,Michter's Shively Distillery,"2351 New Millennium Dr, Louisville, KY 40216, USA",KY,osm,unmatched,69.2,none,0.571,,,
maine-distilleries-cold-river-vodka,Maine Distilleries - Cold River Vodka,"437 US-1, Freeport, ME 04032, USA",ME,osm,unmatched,53.3,none,0.0,,,
minhas-distillery,Minhas Distillery,"1404 13th St, Monroe, WI 53566, USA",WI,osm,unmatched,66.7,none,0.0,,,
just-rum,Just Rum,"17020 Ruben Ln, Sandy, OR 97055, USA",OR,osm,unmatched,57.1,none,0.0,,,
blaum-bros-distillery,Blaum Bros Distillery,"9380 US Hwy 20 W, Galena, IL 61036, USA",IL,osm,unmatched,58.8,none,0.286,,,
takara-sake,Takara Sake,"708 Addison St, Berkeley, CA 94710, USA",CA,osm,unmatched,66.7,none,0.0,,,
sugar-hill-distillery,Sugar Hill Distillery,,,osm,unmatched,0,none,0,,,
west-fork-whiskey-co,West Fork Whiskey Co.,,,osm,unmatched,0,none,0,,,
the-distillery-high-ridge-spirits,The Distillery High Ridge Spirits,,,osm,unmatched,0,none,0,,,
riverhead-ciderhouse,Riverhead Ciderhouse,,,osm,unmatched,0,none,0,,,
anvil-distillery,Anvil Distillery,,,osm,unmatched,0,none,0,,,
nashville-craft-distilery,Nashville Craft Distilery,,,osm,unmatched,0,none,0,,,
cane-land-distillery,Cane Land Distillery,"760 St Philip St, Baton Rouge, LA 70802, USA",LA,osm,unmatched,47.6,none,0.0,,,
