slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
old-republic-distillery-tavern,Old Republic Distillery Tavern,"3 Dutchland Ave, Ephrata, PA 17522, USA",PA,google-places,review,77.4,name,0.0,PA-S-20002,"OLD REPUBLIC DISTILLERY, INC",
crooked-creek-distillery,Crooked Creek Distillery,"415 Main St, Irwin, PA 15642, USA",PA,google-places,review,70.3,name,0.0,PA-S-20279,"CROOKED CREEK OPERATIONS, LLC",Chain Reaction Distilling
palmer-distilling-co,Palmer Distilling Co,"220 Krams Ave, Philadelphia, PA 19127, USA",PA,google-places,review,84.2,name,0.0,PA-S-20349,SPRING HOUSE DISTILLERY INC.,Helm Distilling Co.
lbi-distilling-company,LBI Distilling Company,"1305 Long Beach Blvd, Long Beach, NJ 08008, USA",NJ,google-places,review,81.5,name,0.0,NJ-S-20036,GK DISTILLING INC,Colts Neck Stillhouse Company
nomad-distilling-co-new-hope,Nomad Distilling Co. - New Hope,"20 S Main St, New Hope, PA 18938, USA",PA,google-places,review,80.9,name,0.0,PA-S-20091,REVEL SPIRITS LLC,Nomad Distilling Co.
great-jones-distilling-co,Great Jones Distilling Co,"686 Broadway, New York, NY 10012, USA",NY,google-places,review,80.9,name,0.333,NY-S-20134,"GREAT JONES DISTILLERS, LLC",The Great Jones Distillery
tom-s-foolery-farm-and-distillery,Tom's Foolery Farm and Distillery,"17520 Rapids Rd, Burton, OH 44021, USA",OH,google-places,review,74.3,name,0.0,OH-S-15008,"TOMSFOOLERY, LLC",TOM'S FOOLERY
hungry-run-distillery,Hungry Run Distillery,"10 Ridens Rd, Lewistown, PA 17044, USA",PA,google-places,review,83.3,name,0.333,PA-S-20043,"HUNGRY RUN WINE & SPIRITS, LLC",Hungry Run Distillery DBA
jackazz-distilling-llc,Jackazz Distilling LLC,"48 Kushwa Rd, Spring Glen, PA 17978, USA",PA,google-places,review,81.1,name,0.429,PA-S-20105,JACK-AZZ DISTILLING LLC,
st-julian-winery-distillery,St. Julian Winery & Distillery,"716 S Kalamazoo St, Paw Paw, MI 49079, USA",MI,google-places,review,78.3,name,0.286,MI-S-15013,"ST. JULIAN WINE COMPANY, INC.",
flatrock-distilling-company,Flatrock Distilling Company,"621 N Perry St, Napoleon, OH 43545, USA",OH,google-places,review,78.8,name,0.143,OH-S-20023,LEO DISTILLING LLC,Northside Distilling Company
scallywag-distilling,Scallywag Distilling,"1474 PA-208, Pulaski, PA 16143, USA",PA,google-places,review,74.4,name,0.0,PA-S-20133,"WHITE VALLEY DISTILLING, LLC",
nomad-distilling-co-jim-thorpe,Nomad Distilling Co - Jim Thorpe,"55 Broadway, Jim Thorpe, PA 18229, USA",PA,google-places,review,77.6,name,0.0,PA-S-20091,REVEL SPIRITS LLC,Nomad Distilling Co.
newport-craft-brewing-distilling-co,Newport Craft Brewing & Distilling Co.,"293 JT Connell Hwy, Newport, RI 02840, USA",RI,google-places,review,80.0,name,0.429,RI-S-15000,"COASTAL EXTREME BREWING CO., LLC",Newport Distilling Company
badlands-artisan-distillery-bistro,Badlands Artisan Distillery & Bistro,"51500 US-97, La Pine, OR 97739, USA",OR,google-places,review,82.1,name,0.0,OR-S-20081,BADLANDS ARTISAN DISTILLERY LLC,Badlands Artisan Distillery
bier-distillery-brewery,Bier Distillery & Brewery,"5295 W River Dr NE, Comstock Park, MI 49321, USA",MI,google-places,review,84.6,name,0.0,MI-S-20248,BEARDS BREWERY LLC,
